connectance_windsor,Pixel_Lat,Pixel_Long,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NDVI,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm
0.321428571,50.42083359,-101.0458298,862,24.37214088,458.0125122,240.713913,51.77065277,78,0,0,0,0,10,12,0,1431,1907,1124,0.964288354,-0.264827847,492,3.10640502,0.5625,0,38.00876617,20.54719925,0,3102.489014,5,200,45.51102066,61.82996368,69.41080475
0.194444444,40.82916641,-72.99583435,1209,117.1248245,1140.11731,259.1990356,8.467947006,56,0,0,0,25,0,19,0,1326,3339,1962,-0.707106888,0.23394452,33,0.39977473,-0.5625,0,49.12570572,65.53671265,0,4787.903809,50,200,58.4161644,42.8470993,51.95504379
0.200000003,40.00416565,-87.99583435,1196,116.1246262,955.0316772,295.8442993,23.70362663,89,0,0,0,0,8,3,0,623,1825,2190,0.94101429,-0.125927761,206,0.236935854,-0.25,0,0.217795074,4.141510963,0,4213.222656,50,200,21.14547157,27.83950233,61.6006813
0.166666667,38.14583206,-82.70417023,1215,135.1438751,1008.882996,290.1394653,15.59108734,0,0,100,0,0,0,0,0,405,511,3184,-0.482128978,-0.243274808,222,3.946015596,1.3125,0,1.367658615,144.9735107,0,6590.328125,1,200,30.31147766,33.36214447,53.07659149
0.342857143,50.42083359,-101.0458298,862,24.37214088,458.0125122,240.713913,51.77065277,78,0,0,0,0,10,12,0,1431,1907,1124,0.964288354,-0.264827847,492,3.10640502,0.5625,0,38.00876617,20.54719925,0,3102.489014,5,200,45.51102066,61.82996368,69.41080475
0.116666667,42.45416641,-83.99583435,1054,91.98040771,826.029541,273.7680054,18.19889259,24,0,54,0,0,0,22,0,570,1724,3450,-0.558058619,0.247720182,279.5,1.563457489,-0.5625,0,0.437903374,117.2807083,0,5811.342773,25,200,53.79467392,137.850769,56.7924881
0.077922078,45.52916718,-75.0625,893,67.96859741,1006.11261,259.615448,11.70127392,16,0,71,0,0,0,13,0,453,2366,2580,0.295473218,-0.590618551,80,0.299877048,0.0625,0,0.180798784,103.6592026,0,5555.92627,46,200,66.01997375,111.1142883,52.30583191
0.090909091,41.65416718,-80.42082977,1035,95.47277832,1074.023438,258.5805969,16.82332611,46,0,45,0,0,0,8,0,1342,4753,1349,-0.385608375,0.174519479,317,0.929066062,0.1875,0,32.27245712,56.1063118,0,5211.572754,18,200,35.6453743,46.87913513,57.17633057
0.112554113,44.33750153,-74.33750153,842,59.58696365,958.0553589,236.8368378,15.72107315,0,0,28,0,8,0,34,0,1484,64,1522,0.036534742,0.04025716,491,1.885113001,-1,0,0.043031577,112.0062256,0,5014.691895,23,188.4881897,56.61916733,171.4696655,45.09979248
0.380952381,50.42083359,-101.0458298,862,24.37214088,458.0125122,240.713913,51.77065277,78,0,0,0,0,10,12,0,1431,1907,1124,0.964288354,-0.264827847,492,3.10640502,0.5625,0,38.00876617,20.54719925,0,3102.489014,5,200,45.51102066,61.82996368,69.41080475
0.092307692,43.86249924,-74.8208313,828,57.70051575,1045.665405,232.5296783,11.2284565,0,0,41,0,11,0,42,0,1141,4362,2227,-0.79503274,0.301349699,612.5,2.614885807,-3.375,0,0,147.2471161,0,5478.069336,1,175.7188263,60.23890305,181.4701691,43.18793488
0.136752137,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
0.139601141,43.96250153,-79.07917023,920,78.94449615,725.7701416,256.2930298,11.83710003,72,0,18,0,0,7,4,0,498,317,3723,-0.17446357,-0.975519896,186.5,1.187981844,-1.9375,0,0.653194308,112.6965332,0,5525.268066,1,200,41.95738602,40.76934052,63.20164108
0.068783069,36.01250076,-78.97916412,1403,154.9419708,1162.53125,301.2953186,13.88892651,10,0,19,0,27,0,44,0,766,3003,2124,-0.752561927,0.633550644,150.5,0.99759537,0.0625,0,6.964724064,144.7329712,0,7217.486328,1,200,42.56032944,26.45963669,49.52811813
0.084656085,43.61249924,-74.66249847,832,49.55845261,1456.079712,221.8711243,8.580285072,0,0,0,0,19,0,81,0,668,2812,2366,0.476356149,-0.421718776,811.5,4.580724239,4.9375,0,0,175.151474,0,5890.150391,5,172.9027557,59.19566727,167.9607697,40.27394104
