network,database,type,reference,latitude,longitude,total_species,total_interactions,connectance
A_PH_30_94,M,Herbivory,"@article {rosenthal_1974, title = {Ecology and natural history of a stand of giant kelp, <i>Macrocystis pyrifera</i>, off Del Mar, California}, journal = {Fishery Bulletin}, volume = {72}, number = {3}, year = {1974}, note = {n/a}, pages = {670-684}, abstract = {n/a}, isbn = {0090-0656}, url = {<Go to ISI>://WOS:A1974T807300005}, author = {Rosenthal, R. J. and Clarke, W. D. and Dayton, P. K.}}",32.95,-117.266667,10,9,0.2
A_PH_84_1444,M,Herbivory,"@article{Angelini_2005, doi = {10.1016/j.ecolmodel.2004.06.025}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2004.06.025}, year = 2005, month = {jan}, publisher = {Elsevier {BV}}, volume = {181}, number = {2-3}, pages = {109--121}, author = {Ronaldo Angelini and Angelo Antonio Agostinho}, title = {Food web model of the Upper Paran{'{a}} River Floodplain: description and aggregation effects}, journal = {Ecological Modelling}}",-23.502581,-53.974824,24,31,0.112318841
A_PH_85_1446,M,Herbivory,"@article{Angelini_2006, doi = {10.1590/s1679-62252006000200011}, url = {https://doi.org/10.1590%2Fs1679-62252006000200011}, year = 2006, month = {jun}, publisher = {{FapUNIFESP} ({SciELO})}, volume = {4}, number = {2}, pages = {253--260}, author = {Ronaldo Angelini and Angelo Antonio Agostinho and Luiz Carlos Gomes}, title = {Modeling energy flow in a large Neotropical reservoir: a tool do evaluate fishing and stability}, journal = {Neotropical Ichthyology}}",-25.218893,-54.452729,17,21,0.154411765
A_PH_85_1447,M,Herbivory,"@article{Angelini_2006, doi = {10.1590/s1679-62252006000200011}, url = {https://doi.org/10.1590%2Fs1679-62252006000200011}, year = 2006, month = {jun}, publisher = {{FapUNIFESP} ({SciELO})}, volume = {4}, number = {2}, pages = {253--260}, author = {Ronaldo Angelini and Angelo Antonio Agostinho and Luiz Carlos Gomes}, title = {Modeling energy flow in a large Neotropical reservoir: a tool do evaluate fishing and stability}, journal = {Neotropical Ichthyology}}",-25.218893,-54.452729,17,21,0.154411765
A_PH_77_1101,M,Herbivory,"@article{Angelini_2010, doi = {10.3989/scimar.2011.75n2309}, url = {https://doi.org/10.3989%2Fscimar.2011.75n2309}, year = 2010, month = {nov}, publisher = {Departmento de Publicaciones del {CSIC}}, volume = {75}, number = {2}, pages = {309--319}, author = {Ronaldo Angelini and Filomena Vaz-Velho}, title = {Ecosystem structure and trophic analysis of Angolan fishery landings}, journal = {Scientia Marina}}",-17.25,10.9533691,9,8,0.222222222
A_PH_153_1563,M,Herbivory,"@article{Angelini_2013, doi = {10.1016/j.ecolmodel.2013.01.001}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2013.01.001}, year = 2013, month = {mar}, publisher = {Elsevier {BV}}, volume = {253}, pages = {82--96}, author = {Ronaldo Angelini and Ronny Jos{'{e}} de Morais and Agostinho Carlos Catella and Emiko Kawakami Resende and Simone Libralato}, title = {Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?}, journal = {Ecological Modelling}}",-19.62177443,-56.99015571,20,23,0.121052632
A_PH_153_1564,M,Herbivory,"@article{Angelini_2013, doi = {10.1016/j.ecolmodel.2013.01.001}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2013.01.001}, year = 2013, month = {mar}, publisher = {Elsevier {BV}}, volume = {253}, pages = {82--96}, author = {Ronaldo Angelini and Ronny Jos{'{e}} de Morais and Agostinho Carlos Catella and Emiko Kawakami Resende and Simone Libralato}, title = {Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?}, journal = {Ecological Modelling}}",-19.72941733,-56.85990752,20,23,0.121052632
A_PH_153_1565,M,Herbivory,"@article{Angelini_2013, doi = {10.1016/j.ecolmodel.2013.01.001}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2013.01.001}, year = 2013, month = {mar}, publisher = {Elsevier {BV}}, volume = {253}, pages = {82--96}, author = {Ronaldo Angelini and Ronny Jos{'{e}} de Morais and Agostinho Carlos Catella and Emiko Kawakami Resende and Simone Libralato}, title = {Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?}, journal = {Ecological Modelling}}",-20.09880569,-55.96024828,12,11,0.166666667
A_PH_86_1448,M,Herbivory,"@article{angelini2010mixed, title={Mixed food web control and stability in a Cerrado river (Brazil)}, author={Angelini, RONALDO and Aloisio, GUSTAVO RIBEIRO and Carvalho, ADRIANA ROSA}, journal={Pan-American Journal of Aquatic Sciences}, volume={5}, number={3}, pages={421--431}, year={2010}}",-18.56476149,-52.01550231,9,10,0.277777778
A_PH_160_1590,M,Herbivory,"@article{Badcock_1949, doi = {10.2307/1599}, url = {https://doi.org/10.2307%2F1599}, year = 1949, month = {nov}, publisher = {{JSTOR}}, volume = {18}, number = {2}, pages = {193}, author = {Ruth M. Badcock}, title = {Studies in Stream Life in Tributaries of the Welsh Dee}, journal = {The Journal of Animal Ecology}}",52.98925305,-3.481503831,27,70,0.199430199
A_PH_74_1069,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,10,8,0.177777778
A_PH_74_1064,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,17,15,0.110294118
A_PH_74_1065,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,14,12,0.131868132
A_PH_74_1066,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,13,11,0.141025641
A_PH_74_1068,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,11,9,0.163636364
A_PH_74_1067,M,Herbivory,"@article{Baeta_2011, doi = {10.1016/j.ecolmodel.2010.12.010}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010}, year = 2011, month = {mar}, publisher = {Elsevier {BV}}, volume = {222}, number = {6}, pages = {1209--1221}, author = {Alexandra Baeta and Nathalie Niquil and João C. Marques and Joana Patrício}, title = {Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs}, journal = {Ecological Modelling}}",40.141109,-8.856905,15,13,0.123809524
A_PH_88_1455,M,Herbivory,"@article{Bird_1930, doi = {10.2307/1930270}, url = {https://doi.org/10.2307%2F1930270}, year = 1930, month = {apr}, publisher = {Wiley}, volume = {11}, number = {2}, pages = {356--442}, author = {Ralph D. Bird}, title = {Biotic Communities of the Aspen Parkland of Central Canada}, journal = {Ecology}}",50.4218,-101.046,8,9,0.321428571
A_PH_88_1454,M,Herbivory,"@article{Bird_1930, doi = {10.2307/1930270}, url = {https://doi.org/10.2307%2F1930270}, year = 1930, month = {apr}, publisher = {Wiley}, volume = {11}, number = {2}, pages = {356--442}, author = {Ralph D. Bird}, title = {Biotic Communities of the Aspen Parkland of Central Canada}, journal = {Ecology}}",50.4218,-101.046,15,36,0.342857143
